Types of Ingredients,What They Do,Names Found on Product Labels
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Ascorbic acid
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Citric acid
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Sodium benzoate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Calcium propionate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Sodium erythorbate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Sodium nitrite
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Calcium sorbate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Potassium sorbate
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",BHA
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",BHT
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",EDTA
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Tocopherols (Vitamin E)
Preservatives,"Prevent food spoilage from bacteria, molds, fungi, or yeast (antimicrobials); slow or prevent changes in color, flavor, or texture and delay rancidity (antioxidants); maintain freshness",Tocopherols
Sweeteners,Add sweetness with or without the extra calories,Sucrose
Sweeteners,Add sweetness with or without the extra calories,Sugar
Sweeteners,Add sweetness with or without the extra calories,Glucose
Sweeteners,Add sweetness with or without the extra calories,Fructose
Sweeteners,Add sweetness with or without the extra calories,Sorbitol
Sweeteners,Add sweetness with or without the extra calories,Mannitol
Sweeteners,Add sweetness with or without the extra calories,Corn syrup
Sweeteners,Add sweetness with or without the extra calories,Saccharin
Sweeteners,Add sweetness with or without the extra calories,Aspartame
Sweeteners,Add sweetness with or without the extra calories,Sucralose
Sweeteners,Add sweetness with or without the extra calories,Acesulfame potassium
Sweeteners,Add sweetness with or without the extra calories,Acesulfame-K
Sweeteners,Add sweetness with or without the extra calories,Neotame
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Blue Nos. 1
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Blue Nos. 2
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Green No. 3
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Red Nos. 3
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Red Nos. 40
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Yellow Nos. 5
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",FD&C Yellow Nos. 6
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",F Orange B
Color Additives,"Offset color loss due to exposure to light, air, temperature extremes, moisture and storage conditions; correct natural variations in color; enhance colors that occur naturally; provide color to colorless and ""fun"" foods",Citrus Red No. 2
