Preservatives,Prevent food spoilage,Ascorbic acid
Preservatives,Prevent food spoilage,Citric acid
Preservatives,Prevent food spoilage,Sodium benzoate
Preservatives,Prevent food spoilage,Calcium propionate
Preservatives,Prevent food spoilage,Sodium erythorbate
Preservatives,Prevent food spoilage,Sodium nitrite
Preservatives,Prevent food spoilage,Calcium sorbate
Preservatives,Prevent food spoilage,Potassium sorbate
Preservatives,Prevent food spoilage,BHA
Preservatives,Prevent food spoilage,BHT
Preservatives,Prevent food spoilage,EDTA
Preservatives,Prevent food spoilage,Tocopherols (Vitamin E)
Preservatives,Prevent food spoilage,Tocopherols
Sweeteners,Add sweetness with or without the extra calories,Sucrose
Sweeteners,Add sweetness with or without the extra calories,Sugar
Sweeteners,Add sweetness with or without the extra calories,Glucose
Sweeteners,Add sweetness with or without the extra calories,Fructose
Sweeteners,Add sweetness with or without the extra calories,Sorbitol
Sweeteners,Add sweetness with or without the extra calories,Mannitol
Sweeteners,Add sweetness with or without the extra calories,Corn syrup
Sweeteners,Add sweetness with or without the extra calories,Saccharin
Sweeteners,Add sweetness with or without the extra calories,Aspartame
Sweeteners,Add sweetness with or without the extra calories,Sucralose
Sweeteners,Add sweetness with or without the extra calories,Acesulfame potassium
Sweeteners,Add sweetness with or without the extra calories,Acesulfame-K
Sweeteners,Add sweetness with or without the extra calories,Neotame
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Blue Nos. 3
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Blue Nos. 4
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Green No. 5
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Red Nos. 5
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Red Nos. 42
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Yellow Nos. 7
Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Yellow Nos. 8
Color Additives,Offset color loss due to various exposures and enhance colors,F Orange B
Color Additives,Offset color loss due to various exposures and enhance colors,Citrus Red No. 4
Color Additives,Offset color loss due to various exposures and enhance colors,Annatto extract
Color Additives,Offset color loss due to various exposures and enhance colors,Beta-carotene
Color Additives,Offset color loss due to various exposures and enhance colors,Grape skin extract
Color Additives,Offset color loss due to various exposures and enhance colors,Cochineal Carmine
Color Additives,Offset color loss due to various exposures and enhance colors,Cochineal extract
Color Additives,Offset color loss due to various exposures and enhance colors,Carmine
Color Additives,Offset color loss due to various exposures and enhance colors,Paprika oleoresin
Color Additives,Offset color loss due to various exposures and enhance colors,Caramel color
Color Additives,Offset color loss due to various exposures and enhance colors,Fruit juice
Color Additives,Offset color loss due to various exposures and enhance colors,Vegetable juice
Color Additives,Offset color loss due to various exposures and enhance colors,Saffron
Color Additives,Offset color loss due to various exposures and enhance colors,Colorings
Color Additives,Offset color loss due to various exposures and enhance colors,Color
Flavors and Spices,Add specific flavors (natural and synthetic),Natural flavoring
Flavors and Spices,Add specific flavors (natural and synthetic),Artificial flavor
Flavors and Spices,Add specific flavors (natural and synthetic),Spices
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Monosodium glutamate
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),MSG
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Hydrolyzed soy protein
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Autolyzed yeast extract
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Disodium guanylate
Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Disodium inosinate
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Olestra
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Cellulose gel
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Carrageenan
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Polydextrose
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Modified food starch
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Modified starch
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Food starch
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Starch
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Microparticulated egg white protein
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Guar gum
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Xanthan gum
Fat Replacers,Provide expected texture and a creamy mouth-feel in reduced-fat foods,Whey protein concentrate
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Thiamine hydrochloride
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Riboflavin (Vitamin B2)
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Riboflavin
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Niacin
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Niacinamide
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Folate
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Folic acid
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Beta carotene
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Potassium iodide
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Iron sulfate
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Ferrous sulfate
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Alpha tocopherols
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Ascorbic acid
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Vitamin D
Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-tryptophan
Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-lysine
Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-leucine
Nutrients,Replace vitamins and minerals lost in processing (enrichment),L-methionine
Nutrients,Replace vitamins and minerals lost in processing (enrichment),Amino acids
Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Soy lecithin
Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Monoglycerides
Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Diglycerides
Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Egg yolks
Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Polysorbates
Emulsifiers,Allow smooth mixing of ingredients and prevent separation ,Sorbitan monostearate
Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Gelatin
Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Pectin
Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Guar gum
Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Carrageenan
Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Xanthan gum
Stabilizers and Thickeners,Produce uniform texture and improve mouth-feel,Whey
pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Lactic acid
pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Citric acid
pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Ammonium hydroxide
pH Control Agents and acidulants,Control acidity/alkalinity and prevent spoilage,Sodium carbonate
Leavening Agents,Promote rising of baked goods,Baking soda
Leavening Agents,Promote rising of baked goods,Monocalcium phosphate
Leavening Agents,Promote rising of baked goods,Calcium carbonate
Anti-caking agents,Keep powdered foods free-flowing and prevent moisture absorption,Calcium silicate
Anti-caking agents,Keep powdered foods free-flowing and prevent moisture absorption,Iron ammonium citrate
Anti-caking agents,Keep powdered foods free-flowing and prevent moisture absorption,Silicon dioxide
Humectants,Retain moisture,Glycerin
Humectants,Retain moisture,Sorbitol
Yeast Nutrients,Promote growth of yeast,Calcium sulfate
Yeast Nutrients,Promote growth of yeast,Ammonium phosphate
Dough Strengtheners and Conditioners,Produce more stable dough,Ammonium sulfate
Dough Strengtheners and Conditioners,Produce more stable dough,Azodicarbonamide
Dough Strengtheners and Conditioners,Produce more stable dough,L-cysteine
Firming Agents,Maintain crispness and firmness,Calcium chloride
Firming Agents,Maintain crispness and firmness,Calcium lactate
Enzyme Preparations,Modify proteins polysaccharides and fats,Enzymes
Enzyme Preparations,Modify proteins polysaccharides and fats,Lactase
Enzyme Preparations,Modify proteins polysaccharides and fats,Papain
Enzyme Preparations,Modify proteins polysaccharides and fats,Rennet
Enzyme Preparations,Modify proteins polysaccharides and fats,Chymosin
Gases,Serve as propellant or create carbonation,Carbon dioxide
Gases,Serve as propellant or create carbonation,Nitrous oxide
